"Year","Biomass","Fishing","Temperature"
1946,990981,0.21,3.039449736
1947,1021872,0.32,2.95664781
1948,836996,0.31,2.849411052
1949,624616,0.36,2.917886745
1950,561981,0.38,2.9332492
1951,510901,0.43,2.836470426
1952,499119,0.52,2.812769053
1953,395821,0.4,3.049942054
1954,409596,0.42,2.976132392
1955,331508,0.5,2.807935035
1956,284260,0.61,2.878136205
1957,206864,0.52,2.842085909
1958,204204,0.53,2.819398363
1959,442805,0.53,2.830372001
1960,402759,0.51,2.962758554
1961,406019,0.65,2.958493484
1962,320176,0.76,2.792230268
1963,214506,0.87,2.826377831
1964,192073,0.68,2.751868712
1965,106493,0.55,2.723267291
1966,121933,0.51,2.644210385
1967,133557,0.54,2.717640623
1968,228964,0.58,2.51912864
1969,151405,0.76,2.62777067
1970,230733,0.7,2.736119878
1971,319399,0.59,2.751732171
1972,365204,0.69,2.855618917
1973,324226,0.61,2.809721259
1974,159573,0.63,2.919340562
1975,130599,0.64,2.705073795
1976,167889,0.66,2.812684335
1977,352361,0.81,2.72505268
1978,234779,0.97,2.669495347
1979,165107,0.78,2.616612817
1980,102610,0.78,2.804178525
1981,151761,0.76,2.65345954
1982,311677,0.82,2.645049438
1983,282330,0.78,2.781728757
1984,228215,0.89,2.882475833
1985,187689,0.79,2.85814071
1986,162281,0.9,2.815447591
1987,110474,1.02,2.845324554
1988,179824,0.95,2.850490367
1989,236593,0.65,2.835894134
1990,333958,0.37,3.053194579
1991,711318,0.32,2.978283683
1992,912173,0.45,2.927809813
1993,777338,0.58,2.822629168
1994,591837,0.8,2.864881269
1995,523800,0.78,2.843961823
1996,548513,0.76,2.879131631
1997,546605,0.94,2.917761205
1998,381012,0.96,2.950192992
1999,285386,0.96,2.963183778
2000,239875,0.82,3.005747761
2001,364038,0.71,3.057900799
2002,507252,0.65,3.2495549
2003,597729,0.57,3.203755637
2004,714855,0.71,3.319278935
2005,621686,0.71,3.273022007
2006,609655,0.65,3.364504922
2007,664380,0.44,3.324507723
2008,704486,0.31,3.494992676
2009,1111746,0.27,3.524707099
2010,1413785,0.27,3.448843701
2011,2040520,0.26,3.492040324
2012,2371480,0.24,3.462283744
2013,2692927,0.27,3.614381785
2014,2563812,0.3,3.683821391
2015,2133663,0.32,3.658198678
2016,1769635,0.33,3.787706029
