"Year","PC1","Fishing","Temperature"
1983,NA,243.94617,19.34294114
1984,NA,243.94617,19.06165353
1985,-1.290728163,243.94617,19.46507523
1986,-1.497692501,257.6951,19.59243308
1987,-1.674040647,281.36275,19.367536
1988,-1.891200388,299.4474,19.60335341
1989,-1.310760253,316.84005,19.40802745
1990,-1.616982844,333.27011,19.79961651
1991,-1.666675696,343.9021,19.27071344
1992,-1.935085003,347.44858,19.29641356
1993,-1.49794977,349.82434,19.40413014
1994,-1.472340864,347.53767,19.86495183
1995,-1.05343982,353.04603,19.52065838
1996,-1.035374534,354.25831,19.23634554
1997,-0.113749023,359.88758,19.58817193
1998,0.521249807,365.44478,19.63128737
1999,1.228856191,365.2731,19.9903161
2000,1.089963606,366.5411,19.82705181
2001,1.985327517,377.99536,20.00261479
2002,1.653422922,384.6454,19.86455264
2003,1.374299054,385.523,20.29766727
2004,1.507181413,387.48412,19.74160648
2005,0.45480242,390.93518,19.75654808
2006,0.790663803,392.50849,19.96430721
2007,0.795687155,386.59479,19.91753308
2008,0.861061251,381.1351,19.91613844
2009,0.558212239,372.72098,20.01030418
2010,0.344865277,367.55341,19.93694274
2011,0.618621441,359.89873,20.19545554
2012,1.088758975,348.62755,20.35709973
2013,0.738480149,341.51292,20.05007127
2014,1.19389417,337.63184,20.3936818
2015,1.250672114,333.03694,20.51611485
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
